#Resonance List for B3D model
#Last Modified: Thu Mar 10 12:49:34 2011
#Legend: ParticleCode Mass Charge BaryonNumber Strangeness Spin GParity DecayBool ResWidth ResName
319 Resonances
22 0 0 0 0 0.5 -1 0 0  Gamma            
211 139.57 1 0 0 0 -1 0 0  Pion (+)         
111 134.98 0 0 0 0 -1 0 0  Pion (0)         
-211 139.57 -1 0 0 0 -1 0 0  Pion (-)         
321 493.68 1 0 1 0 9 0 0  Kaon (+)         
-321 493.68 -1 0 -1 0 9 0 0  Kaon (-)         
311 497.65 0 0 1 0 9 0 0  Kaon (0)         
-311 497.65 0 0 -1 0 9 0 0  Anti Kaon (0)    
221 547.75 0 0 0 0 1 1 0.0012  eta              
213 775.8 1 0 0 1 1 1 150.3  rho  (+)         
113 775.8 0 0 0 1 1 1 150.3  rho  (0)         
-213 775.8 -1 0 0 1 1 1 150.3  rho  (-)         
223 782.59 0 0 0 1 -1 1 8.49  omega            
323 891.66 1 0 1 1 9 1 50.8  K* 892 (+)       
-323 891.66 -1 0 -1 1 9 1 50.8  K* 892 (-)       
313 896.1 0 0 1 1 9 1 50.7  K* 892 (0)       
-313 896.1 0 0 -1 1 9 1 50.7  Anti K* 892 (0)  
2212 938.27 1 1 0 0.5 9 0 0  p                
-2212 938.27 -1 -1 0 0.5 9 0 0  p                
2112 939.57 0 1 0 0.5 9 0 0  n                
-2112 939.57 0 -1 0 0.5 9 0 0  n                
331 957.78 0 0 0 0 1 1 0.2  eta prime (958)  
9010221 974.1 0 0 0 0 1 1 47  f0 (980)         
9000211 984.7 1 0 0 0 -1 1 57  a0 (980) (+)     
9000111 984.7 0 0 0 0 -1 1 57  a0 (980) (0)     
-9000211 984.7 -1 0 0 0 -1 1 57  a0 (980) (-)     
333 1019.46 0 0 0 1 -1 1 4.26  phi (1020)       
3122 1115.68 0 1 -1 0.5 9 0 0  Lambda           
-3122 1115.68 0 -1 1 0.5 9 0 0  Lambda           
10223 1170 0 0 0 1 -1 1 360  h1(1170)         
3222 1189.37 1 1 -1 0.5 9 0 0  Sigma (+)        
-3222 1189.37 -1 -1 1 0.5 9 0 0  Sigma (+)        
3212 1192.64 0 1 -1 0.5 9 0 0  Sigma (0)        
-3212 1192.64 0 -1 1 0.5 9 0 0  Sigma (0)        
3112 1197.45 -1 1 -1 0.5 9 0 0  Sigma (-)        
-3112 1197.45 1 -1 1 0.5 9 0 0  Sigma (-)        
10213 1229.5 1 0 0 1 1 1 142  b1 (1235) (+)    
10113 1229.5 0 0 0 1 1 1 142  b1 (1235) (0)    
-10213 1229.5 -1 0 0 1 1 1 142  b1 (1235) (-)    
20213 1230 1 0 0 1 -1 1 400  a1 (1260) (+)    
20113 1230 0 0 0 1 -1 1 400  a1 (1260) (0)    
-20213 1230 -1 0 0 1 -1 1 400  a1 (1260) (-)    
2224 1232 2 1 0 1.5 9 1 120  Delta 1232 (++)  
-2224 1232 -2 -1 0 1.5 9 1 120  Delta 1232 (++)  
2214 1232 1 1 0 1.5 9 1 120  Delta 1232 (+)   
-2214 1232 -1 -1 0 1.5 9 1 120  Delta 1232 (+)   
2114 1232 0 1 0 1.5 9 1 120  Delta 1232 (0)   
-2114 1232 0 -1 0 1.5 9 1 120  Delta 1232 (0)   
1114 1232 -1 1 0 1.5 9 1 120  Delta 1232 (-)   
-1114 1232 1 -1 0 1.5 9 1 120  Delta 1232 (-)   
10323 1273 1 0 1 1 9 1 90  K1 1270 (+)      
-10323 1273 -1 0 -1 1 9 1 90  K1 1270 (-)      
10313 1273 0 0 1 1 9 1 90  K1 1270 (0)      
-10313 1273 0 0 -1 1 9 1 90  Anti K1 1270 (0) 
225 1275.4 0 0 0 2 1 1 185.1  f2 (1270)        
20223 1281.8 0 0 0 1 1 1 24.1  f1 (1285)        
100221 1294 0 0 0 0 1 1 55  eta (1295)       
100211 1300 1 0 0 0 -1 1 400  Pion 1300 (+)    
100111 1300 0 0 0 0 -1 1 400  Pion 1300 (0)    
-100211 1300 -1 0 0 0 -1 1 400  Pion 1300 (-)    
3322 1314.83 0 1 -2 0.5 9 0 0  Xsi (0)          
-3322 1314.83 0 -1 2 0.5 9 0 0  Xsi (0)          
3312 1321.31 -1 1 -2 0.5 9 0 0  Xsi (-)          
-3312 1321.31 1 -1 2 0.5 9 0 0  Xsi (-)          
215 1318.3 1 0 0 2 -1 1 107  a2 1320 (+)      
115 1318.3 0 0 0 2 -1 1 107  a2 1320 (0)      
-215 1318.3 -1 0 0 2 -1 1 107  a2 1320 (-)      
9000213 1376 1 0 0 1 -1 1 300  Pion1 1400 (+)   
9000113 1376 0 0 0 1 -1 1 300  Pion1 1400 (0)   
-9000213 1376 -1 0 0 1 -1 1 300  Pion1 1400 (-)   
3224 1382.8 1 1 -1 1.5 9 1 35.8  Sigma (+) 1385   
-3224 1382.8 -1 -1 1 1.5 9 1 35.8  Sigma (+) 1385   
3214 1383.7 0 1 -1 1.5 9 1 36  Sigma (0) 1385   
-3214 1383.7 0 -1 1 1.5 9 1 36  Sigma (0) 1385   
3114 1387.2 -1 1 -1 1.5 9 1 39.4  Sigma (-) 1385   
-3114 1387.2 1 -1 1 1.5 9 1 39.4  Sigma (-) 1385   
10221 1400 0 0 0 0 1 1 225  f0 1370          
20323 1402 1 0 1 1 9 1 174  K1 1400 (+)      
-20323 1402 -1 0 -1 1 9 1 174  K1 1400 (-)      
20313 1402 0 0 1 1 9 1 174  K1 1400 (0)      
-20313 1402 0 0 -1 1 9 1 174  Anti K1 1400 (0) 
13122 1406.5 0 1 -1 0.5 9 1 50  Lambda 1405      
-13122 1406.5 0 -1 1 0.5 9 1 50  Lambda 1405      
100323 1414 1 0 1 1 9 1 232  K* 1410 (+)      
-100323 1414 -1 0 -1 1 9 1 232  K* 1410 (-)      
100313 1414 0 0 1 1 9 1 232  K* 1410 (0)      
-100313 1414 0 0 -1 1 9 1 232  Anti K* 1410 (-) 
9020221 1410.3 0 0 0 0 1 1 51  eta 1405         
10321 1412 1 0 1 0 9 1 294  K0* 1430 (+)     
-10321 1412 -1 0 -1 0 9 1 294  K0* 1430 (-)     
10311 1412 0 0 1 0 9 1 294  K0* 1430 (0)     
-10311 1412 0 0 -1 0 9 1 294  Anti K0* 1430 (0)
100223 1419 0 0 0 1 -1 1 174  omega 1420       
20333 1426.3 0 0 0 1 1 1 54.9  f1 1420          
325 1425.6 1 0 1 2 9 1 98.5  K2* 1430 (+)     
-325 1425.6 -1 0 -1 2 9 1 98.5  K2* 1430 (-)     
315 1432.4 0 0 1 2 9 1 109  K2* 1430 (0)     
-315 1432.4 0 0 -1 2 9 1 109  Anti K2* 1430 (0)
12212 1440 1 1 0 0.5 9 1 350  p 1440           
-12212 1440 -1 -1 0 0.5 9 1 350  p 1440           
12112 1440 0 1 0 0.5 9 1 350  n 1440           
-12112 1440 0 -1 0 0.5 9 1 350  n 1440           
100213 1465 1 0 0 1 1 1 400  rho  1450 (+)    
100113 1465 0 0 0 1 1 1 400  rho  1450 (0)    
-100213 1465 -1 0 0 1 1 1 400  rho  1450 (-)    
10211 1474 1 0 0 0 -1 1 265  a0 1450 (+)      
10111 1474 0 0 0 0 -1 1 265  a0 1450 (0)      
-10211 1474 -1 0 0 0 -1 1 265  a0 1450 (-)      
100331 1476 0 0 0 0 1 1 87  eta 1475         
9030221 1507 0 0 0 0 1 1 109  f0 1500          
3124 1519.5 0 1 -1 1.5 9 1 15.6  Lambda 1520      
-3124 1519.5 0 -1 1 1.5 9 1 15.6  Lambda 1520      
2124 1520 1 1 0 1.5 9 1 115  p 1520           
-2124 1520 -1 -1 0 1.5 9 1 115  p 1520           
1214 1520 0 1 0 1.5 9 1 115  n 1520           
-1214 1520 0 -1 0 1.5 9 1 115  n 1520           
335 1525 0 0 0 2 1 1 73  f2 prime 1525    
3324 1531.8 0 1 -2 1.5 9 1 9.1  Xsi (0) 1530     
-3324 1531.8 0 -1 2 1.5 9 1 9.1  Xsi (0) 1530     
3314 1535 -1 1 -2 1.5 9 1 9.9  Xsi (-) 1530     
-3314 1535 1 -1 2 1.5 9 1 9.9  Xsi (-) 1530     
22212 1535 1 1 0 0.5 9 1 150  p 1535           
-22212 1535 -1 -1 0 0.5 9 1 150  p 1535           
22112 1535 0 1 0 0.5 9 1 150  n 1535           
-22112 1535 0 -1 0 0.5 9 1 150  n 1535           
32224 1600 2 1 0 1.5 9 1 350  Delta 1600 (++)  
-32224 1600 -2 -1 0 1.5 9 1 350  Delta 1600 (++)  
32214 1600 1 1 0 1.5 9 1 350  Delta 1600 (+)   
-32214 1600 -1 -1 0 1.5 9 1 350  Delta 1600 (+)   
32114 1600 0 1 0 1.5 9 1 350  Delta 1600 (0)   
-32114 1600 0 -1 0 1.5 9 1 350  Delta 1600 (0)   
